Name,Job,Salary
"Horticulturist, commercial","Restaurant manager, fast food",16
"Loss adjuster, chartered",Contracting civil engineer,30
Waste management officer,Medical illustrator,26
"Lecturer, higher education",Adult guidance worker,15
Investment analyst,"Production assistant, radio",16
Mental health nurse,"Solicitor, Scotland",16
Newspaper journalist,Operational researcher,21
Transport planner,Medical secretary,24
Clinical molecular geneticist,Psychotherapist,16
Banker,Counsellor,28
"Engineer, land",Academic librarian,24
Newspaper journalist,Clinical molecular geneticist,27
Interpreter,Copy,20
"Loss adjuster, chartered",Diplomatic Services operational officer,31
Garment/textile technologist,Exhibition designer,15
"Scientist, research (maths)",Barrister,20
Health visitor,Administrator,28
Artist,Secretary/administrator,31
Operations geologist,Writer,16
Animal technologist,Newspaper journalist,17
Data processing manager,"Administrator, local government",30
"Production assistant, radio",Academic librarian,28
"Programme researcher, broadcasting/film/video",Firefighter,26
Retail merchandiser,Retail manager,20
Exercise physiologist,"Therapist, sports",15
"Merchandiser, retail",Human resources officer,15
"Engineer, materials",Physiological scientist,25
Pension scheme manager,Electrical engineer,16
"Physicist, medical","Scientist, audiological",15
Oceanographer,Forensic scientist,24
Counsellor,Armed forces technical officer,32
Careers information officer,Futures trader,25
Armed forces operational officer,"Surveyor, hydrographic",17
Artist,Exhibition designer,28
Community education officer,Leisure centre manager,24
Architectural technologist,Records manager,25
Geochemist,Hydrographic surveyor,27
"Scientist, research (life sciences)","Administrator, education",31
Learning mentor,Medical sales representative,31
Curator,Purchasing manager,17
Proofreader,"Pharmacist, community",15
English as a foreign language teacher,Public librarian,29
Magazine features editor,"Development worker, community",22
Event organiser,"Surveyor, quantity",28
Systems developer,Editorial assistant,17
Radio producer,Rural practice surveyor,17
"Research officer, political party",Audiological scientist,15
Human resources officer,Tree surgeon,31
"Scientist, research (physical sciences)","Surveyor, hydrographic",17
Arboriculturist,Quantity surveyor,20
Armed forces operational officer,"Radiographer, diagnostic",23
"Designer, graphic",Food technologist,21
Marine scientist,"Engineer, communications",18
Industrial/product designer,"Geologist, wellsite",19
Clinical psychologist,Chief Financial Officer,30
Fine artist,Analytical chemist,21
Call centre manager,"Designer, ceramics/pottery",20
Hydrologist,"Scientist, biomedical",24
Investment analyst,Medical laboratory scientific officer,27
"Engineer, manufacturing systems","Therapist, sports",17
Systems developer,Mechanical engineer,20
"Journalist, newspaper",Glass blower/designer,21
"Engineer, civil (contracting)","Research officer, political party",24
"Teacher, secondary school",Chief Technology Officer,29
Industrial buyer,"Designer, multimedia",28
Phytotherapist,Trade union research officer,17
"Engineer, aeronautical",Chief Financial Officer,23
Product manager,Horticultural consultant,15
"Geologist, engineering",Textile designer,19
Maintenance engineer,Licensed conveyancer,25
Dance movement psychotherapist,"Geneticist, molecular",21
"Geologist, wellsite",Training and development officer,26
Press photographer,"Surveyor, rural practice",31
Health promotion specialist,"Investment banker, corporate",24
Arts development officer,Probation officer,25
Graphic designer,Orthoptist,18
Research scientist (life sciences),Chief Financial Officer,25
"Scientist, clinical (histocompatibility and immunogenetics)","Journalist, broadcasting",31
Special educational needs teacher,Soil scientist,32
Recruitment consultant,Chartered certified accountant,31
Energy manager,Museum/gallery curator,28
Forensic psychologist,"Accountant, chartered certified",22
Mental health nurse,Animal technologist,23
Product designer,Ship broker,15
"Psychologist, occupational","Social research officer, government",30
Ceramics designer,Travel agency manager,32
"Administrator, charities/voluntary organisations",Contractor,22
Community arts worker,Music tutor,26
"Production assistant, radio",Osteopath,20
Building services engineer,Tour manager,15
"Psychologist, educational",Archivist,17
Tour manager,"Scientist, research (maths)",31
Emergency planning/management officer,Financial trader,25
Commercial art gallery manager,Land,19
"Optician, dispensing",Secondary school teacher,24
"Teacher, primary school","Pharmacist, hospital",30
Clinical research associate,Actuary,32
Horticultural therapist,Computer games developer,17
"Teacher, primary school","Designer, television/film set",25
Museum/gallery conservator,"Engineer, agricultural",15
"Radiographer, therapeutic",Retail banker,32
"Engineer, land","Horticulturist, commercial",15
Ranger/warden,"Psychotherapist, child",32
Ergonomist,IT trainer,26
"Production assistant, television",Firefighter,15
"Designer, industrial/product",Economist,32
Barrister's clerk,Lexicographer,17
"Engineer, production",Editorial assistant,30
Ergonomist,Furniture designer,20
Bookseller,Learning mentor,26
"Librarian, academic","Conservation officer, nature",31
Arts development officer,Industrial buyer,31
Make,Chief Strategy Officer,29
"Librarian, academic",Financial planner,22
Audiological scientist,Glass blower/designer,26
"Lighting technician, broadcasting/film/video",Sports therapist,26
Restaurant manager,"Engineer, communications",16
"Surveyor, mining",Bookseller,27
"Engineer, maintenance",Commercial horticulturist,26
Nature conservation officer,"Engineer, communications",28
Osteopath,"Programmer, applications",19
Field seismologist,"Designer, interior/spatial",15
"Surveyor, building control","Lighting technician, broadcasting/film/video",20
"Scientist, research (life sciences)","Conservation officer, nature",30
"Education officer, environmental","Scientist, product/process development",28
"Conservator, furniture",Public house manager,18
Dealer,Farm manager,17
Art gallery manager,Careers information officer,27
Meteorologist,Event organiser,29
Solicitor,Further education lecturer,31
"Therapist, speech and language",Energy manager,27
Accommodation manager,"Production assistant, radio",30
Contracting civil engineer,Management consultant,19
Merchant navy officer,Optometrist,18
Airline pilot,Armed forces technical officer,16
"Lecturer, further education","Therapist, speech and language",30
Advertising copywriter,Futures trader,26
Risk analyst,Data scientist,29
Equality and diversity officer,Geophysical data processor,31
Warehouse manager,Publishing rights manager,32
Horticultural therapist,Futures trader,24
"Engineer, land",Environmental education officer,21
Tourist information centre manager,"Psychotherapist, dance movement",27
Research scientist (physical sciences),"Designer, television/film set",27
Music therapist,"Production assistant, television",28
Sales promotion account executive,Training and development officer,15
"Surveyor, building",Neurosurgeon,24
"Engineer, aeronautical",Science writer,25
Dispensing optician,Astronomer,20
"Designer, ceramics/pottery","Nurse, learning disability",18
Patent examiner,"Psychologist, occupational",17
"Horticulturist, commercial",Recycling officer,30
Technical brewer,Office manager,17
Administrator,Art gallery manager,26
Civil Service fast streamer,Sales executive,16
"Buyer, retail","Doctor, hospital",24
Immunologist,Tour manager,24
"Buyer, industrial",Translator,29
Commercial/residential surveyor,"Chemist, analytical",18
Air cabin crew,Equities trader,25
"Engineer, civil (contracting)","Scientist, research (physical sciences)",30
"Designer, industrial/product",Records manager,17
Lobbyist,"Civil engineer, consulting",28
"Accountant, chartered certified",Commercial/residential surveyor,18
Jewellery designer,Claims inspector/assessor,16
"Sound technician, broadcasting/film/video",Chiropractor,25
Magazine journalist,Health promotion specialist,15
Interior and spatial designer,Barrister's clerk,15
Dealer,Administrator,25
Legal executive,"Engineer, production",24
Occupational psychologist,Financial adviser,19
"Psychologist, sport and exercise",Translator,15
"Therapist, occupational",Chartered accountant,32
"Therapist, nutritional",Computer games developer,18
Hydrographic surveyor,Medical sales representative,27
Air broker,Solicitor,24
Industrial/product designer,Film/video editor,20
Race relations officer,Art gallery manager,27
Theme park manager,Insurance broker,19
Early years teacher,Biomedical scientist,15
"Engineer, petroleum",IT technical support officer,30
Heritage manager,"Editor, film/video",23
"Engineer, biomedical","Civil engineer, consulting",16
"Surveyor, building control","Runner, broadcasting/film/video",22
