Name,Job,Salary
"Engineer, maintenance",Cabin crew,26
"Psychologist, prison and probation services",Special educational needs teacher,25
Exercise physiologist,Insurance claims handler,31
Newspaper journalist,Public relations officer,19
"Accountant, chartered certified","Engineer, civil (consulting)",30
Manufacturing engineer,"Editor, commissioning",22
Control and instrumentation engineer,"Conservation officer, nature",26
Human resources officer,"Surveyor, building control",29
"Psychologist, educational",Ecologist,19
Company secretary,Paediatric nurse,17
Educational psychologist,Government social research officer,18
"Designer, multimedia",Television production assistant,21
Race relations officer,Information officer,29
Advertising art director,Comptroller,20
Immigration officer,"Presenter, broadcasting",17
Ergonomist,Financial manager,29
Interior and spatial designer,Purchasing manager,19
"Designer, furniture","Administrator, arts",19
Games developer,Health visitor,32
Maintenance engineer,Plant breeder/geneticist,24
Race relations officer,Building services engineer,16
Food technologist,Retail banker,24
Operational investment banker,"Radiographer, diagnostic",23
Risk manager,Ceramics designer,29
Public relations officer,Legal executive,27
Mining engineer,Advertising copywriter,31
Clinical embryologist,Lawyer,17
Solicitor,Health physicist,24
Secondary school teacher,Television/film/video producer,27
Print production planner,"Scientist, audiological",29
Office manager,"Therapist, drama",16
"Engineer, materials","Pilot, airline",31
Homeopath,"Surveyor, land/geomatics",21
Paediatric nurse,Web designer,31
Higher education careers adviser,Building control surveyor,29
"Development worker, international aid",Paediatric nurse,27
"Civil engineer, consulting",Building services engineer,25
"Teacher, early years/pre","Therapist, horticultural",26
Chief Financial Officer,Armed forces operational officer,17
Secondary school teacher,Race relations officer,15
Youth worker,Ship broker,25
Health and safety adviser,Health service manager,25
Higher education careers adviser,"Production designer, theatre/television/film",24
"Nurse, adult",Logistics and distribution manager,18
"Engineer, manufacturing systems",Public affairs consultant,20
Airline pilot,Museum/gallery conservator,22
"Designer, exhibition/display",Forensic scientist,30
"Engineer, civil (consulting)","Engineer, civil (contracting)",31
"Investment banker, operational","Designer, furniture",21
Dramatherapist,Air traffic controller,32
Museum education officer,Sales promotion account executive,31
"Engineer, production",Games developer,16
"Psychologist, occupational",Higher education lecturer,22
Armed forces training and education officer,"Scientist, clinical (histocompatibility and immunogenetics)",29
Arts administrator,Manufacturing engineer,20
Bookseller,Medical sales representative,29
Aeronautical engineer,Records manager,25
Community education officer,Health and safety adviser,17
Sports development officer,Teaching laboratory technician,15
Financial controller,"Engineer, energy",18
Product designer,Outdoor activities/education manager,18
Geophysicist/field seismologist,"Nurse, learning disability",25
"Secretary, company",Forensic psychologist,24
Mudlogger,"Surveyor, building control",32
Licensed conveyancer,Film/video editor,32
"Engineer, automotive","Pharmacist, community",25
Armed forces logistics/support/administrative officer,Freight forwarder,19
Investment analyst,"Designer, furniture",32
