Name,Job,Salary
Location manager,Diplomatic Services operational officer,28
Environmental education officer,Translator,24
Manufacturing engineer,Chartered legal executive (England and Wales),28
Company secretary,"Investment banker, operational",26
Museum/gallery curator,Occupational psychologist,32
"Production assistant, television",Cabin crew,18
Best boy,Veterinary surgeon,17
Public relations officer,Printmaker,26
Mining engineer,Systems analyst,21
Solicitor,Dancer,26
Historic buildings inspector/conservation officer,Diplomatic Services operational officer,30
Community development worker,Barrister,20
"Conservator, museum/gallery",Futures trader,15
"Journalist, broadcasting",Educational psychologist,16
Visual merchandiser,"Engineer, production",25
"Teacher, early years/pre",Chief Technology Officer,27
Professor Emeritus,Meteorologist,21
Educational psychologist,"Engineer, land",25
Chartered accountant,"Conservation officer, nature",21
Tax adviser,Electrical engineer,17
Lexicographer,Training and development officer,29
"Designer, jewellery",Corporate investment banker,20
Food technologist,Early years teacher,29
Medical technical officer,"Surveyor, insurance",17
Writer,"Programmer, systems",17
Paediatric nurse,Risk analyst,25
Hospital doctor,Emergency planning/management officer,26
"Programme researcher, broadcasting/film/video",Phytotherapist,27
Make,Local government officer,25
Lexicographer,"Psychotherapist, dance movement",17
Technical sales engineer,Gaffer,16
Medical sales representative,Equality and diversity officer,22
Counsellor,"Education officer, environmental",31
Art gallery manager,Clinical research associate,29
"Surveyor, building control","Therapist, occupational",16
Chief Executive Officer,Nutritional therapist,32
Product designer,Youth worker,27
Sport and exercise psychologist,"Nurse, adult",19
Holiday representative,Education administrator,27
Publishing rights manager,"Therapist, occupational",30
Seismic interpreter,Statistician,27
Dealer,General practice doctor,24
"Accountant, chartered",Paramedic,27
Sales promotion account executive,Magazine features editor,31
Barista,Chief of Staff,19
"Education officer, environmental","Journalist, magazine",31
"Engineer, petroleum",Fisheries officer,16
Clothing/textile technologist,Games developer,30
Environmental consultant,Health service manager,15
"Merchandiser, retail",Public relations officer,20
Textile designer,Water engineer,28
Advertising copywriter,Event organiser,21
Print production planner,Psychotherapist,20
Herbalist,Insurance underwriter,29
Insurance risk surveyor,"Journalist, magazine",30
"Psychotherapist, dance movement",Structural engineer,21
Acupuncturist,Tourist information centre manager,16
Musician,Higher education careers adviser,32
Ranger/warden,Advice worker,19
Fisheries officer,"Journalist, broadcasting",21
Best boy,Wellsite geologist,30
Quarry manager,Media planner,18
Accounting technician,"Accountant, chartered",31
Sports coach,Oceanographer,22
Advice worker,"Pharmacist, hospital",15
"Surveyor, commercial/residential",Lexicographer,23
Herbalist,Personal assistant,18
Solicitor,Dealer,26
