Name,Job,Salary
Economist,Oncologist,32
Consulting civil engineer,"Scientist, audiological",17
Energy manager,Orthoptist,27
Call centre manager,Information systems manager,22
"Surveyor, insurance",Adult nurse,22
"Engineer, agricultural",Structural engineer,21
Control and instrumentation engineer,Commercial art gallery manager,32
"Therapist, occupational",Commercial/residential surveyor,29
"Surveyor, building",Visual merchandiser,28
Conference centre manager,Biomedical scientist,28
Public librarian,"Accountant, chartered management",27
"Programmer, applications",Risk analyst,27
Analytical chemist,Printmaker,29
Naval architect,Sports administrator,27
Administrator,"Engineer, production",21
Lawyer,Insurance broker,25
Biomedical engineer,Scientific laboratory technician,24
Education administrator,"Teacher, special educational needs",31
Optometrist,"Horticulturist, amenity",18
Financial planner,Dancer,27
"Programme researcher, broadcasting/film/video",Engineering geologist,22
Architect,Energy engineer,15
"Therapist, sports",Medical physicist,24
"Psychologist, prison and probation services",Marketing executive,30
Insurance underwriter,"Surveyor, hydrographic",30
Advertising account executive,Corporate investment banker,30
"Surveyor, minerals",Chiropractor,29
Archaeologist,"Pharmacist, community",26
"Conservation officer, historic buildings","Surveyor, minerals",21
Customer service manager,Hospital pharmacist,23
Furniture conservator/restorer,"Psychotherapist, child",17
Public affairs consultant,Youth worker,15
Diagnostic radiographer,Science writer,20
"Civil engineer, consulting","Development worker, international aid",15
Communications engineer,Tour manager,27
Musician,Corporate treasurer,32
Risk analyst,Phytotherapist,22
Clothing/textile technologist,Building services engineer,31
English as a foreign language teacher,"Engineer, structural",25
"Psychotherapist, dance movement",Contractor,27
Manufacturing systems engineer,Media buyer,15
"Journalist, newspaper",Exhibition designer,19
Tourist information centre manager,Airline pilot,30
Glass blower/designer,Community arts worker,20
"Exhibitions officer, museum/gallery",General practice doctor,32
Fisheries officer,Private music teacher,30
Audiological scientist,Music tutor,20
"Conservator, furniture",Training and development officer,19
Tour manager,Higher education careers adviser,32
"Programmer, multimedia",Associate Professor,19
Research scientist (maths),"Exhibitions officer, museum/gallery",30
Higher education careers adviser,"Embryologist, clinical",25
Management consultant,Animal nutritionist,20
English as a foreign language teacher,"Pilot, airline",31
Careers adviser,"Surveyor, hydrographic",15
Human resources officer,Research scientist (maths),21
Bonds trader,Audiological scientist,19
Equities trader,Educational psychologist,32
Textile designer,Purchasing manager,18
Chief Technology Officer,Herbalist,19
Insurance risk surveyor,Risk manager,29
Land/geomatics surveyor,Call centre manager,26
Geoscientist,Games developer,15
"Engineer, chemical",Exercise physiologist,24
"Scientist, water quality",Horticultural therapist,26
Pathologist,Dentist,17
Heritage manager,"Designer, industrial/product",29
Chief Marketing Officer,Animal technologist,17
Financial trader,"Designer, blown glass/stained glass",31
"Teacher, primary school",Sports administrator,19
Film/video editor,Scientific laboratory technician,19
"Nurse, mental health",Environmental education officer,30
Financial risk analyst,"Surveyor, commercial/residential",20
Oceanographer,Podiatrist,26
Marketing executive,Podiatrist,24
Sports coach,Illustrator,29
"Psychologist, occupational",Museum/gallery curator,19
Dealer,Geochemist,19
"Psychologist, prison and probation services",Colour technologist,16
Animal technologist,Leisure centre manager,27
Marketing executive,Insurance underwriter,16
"Surveyor, minerals",Chief Financial Officer,17
Copy,"Administrator, arts",21
Science writer,Office manager,22
Health promotion specialist,Aid worker,16
Writer,"Horticulturist, commercial",30
Financial risk analyst,General practice doctor,25
Associate Professor,Freight forwarder,18
Housing manager/officer,Secondary school teacher,27
Midwife,"Engineer, electronics",29
"Therapist, art","Social research officer, government",27
Hydrographic surveyor,Counselling psychologist,15
Economist,Physiotherapist,26
Press photographer,Hospital doctor,15
Public house manager,"Surveyor, commercial/residential",17
Physiological scientist,"Buyer, industrial",17
Clinical research associate,Multimedia programmer,18
"Engineer, maintenance (IT)",Restaurant manager,19
"Education officer, museum",Secretary/administrator,19
Equality and diversity officer,Health service manager,22
Tourist information centre manager,Mental health nurse,27
Dentist,Chiropractor,22
Glass blower/designer,Ship broker,21
"Engineer, control and instrumentation",Camera operator,18
Video editor,Software engineer,21
Insurance account manager,"Therapist, occupational",25
Chief of Staff,"Engineer, maintenance",19
Exercise physiologist,Microbiologist,18
Travel agency manager,"Conservator, museum/gallery",24
Television production assistant,Exercise physiologist,24
"Accountant, chartered certified",Animal technologist,27
Office manager,Conference centre manager,26
Clothing/textile technologist,Ship broker,15
Freight forwarder,Plant breeder/geneticist,18
"Research officer, government",Archaeologist,32
Contractor,Clinical embryologist,19
Logistics and distribution manager,Contractor,29
"Therapist, music",Civil Service fast streamer,18
Technical sales engineer,Public affairs consultant,21
Retail manager,Rural practice surveyor,27
"Accountant, chartered","Exhibitions officer, museum/gallery",18
Corporate investment banker,"Development worker, international aid",15
"Scientist, marine",Child psychotherapist,31
"Engineer, control and instrumentation","Production designer, theatre/television/film",27
"Engineer, technical sales",Museum education officer,31
Higher education careers adviser,Barrister's clerk,17
Biomedical engineer,"Designer, jewellery",15
Leisure centre manager,Medical sales representative,17
"Designer, textile",Production manager,19
Clothing/textile technologist,Government social research officer,18
Sports coach,Ship broker,22
Agricultural engineer,"Engineer, site",23
Theatre manager,Advice worker,16
Logistics and distribution manager,Horticultural consultant,27
Land/geomatics surveyor,"Scientist, forensic",16
"Accountant, chartered certified",Community education officer,32
"Administrator, arts",Hydrographic surveyor,17
Farm manager,Chiropodist,22
Emergency planning/management officer,Corporate treasurer,17
Interpreter,Electronics engineer,15
Jewellery designer,Hydrologist,21
