Name,Job,Salary
Data scientist,Land,31
Make,Corporate treasurer,18
"Conservation officer, nature",IT sales professional,27
Theatre director,Control and instrumentation engineer,22
Farm manager,"Lecturer, further education",29
"Scientist, clinical (histocompatibility and immunogenetics)","Engineer, technical sales",17
Energy manager,Field trials officer,31
Tax inspector,"Surveyor, rural practice",24
Building control surveyor,"Engineer, control and instrumentation",17
"Doctor, general practice",IT trainer,30
Television production assistant,Early years teacher,28
Field trials officer,Corporate investment banker,27
"Engineer, maintenance","Designer, fashion/clothing",20
Research scientist (life sciences),"Engineer, aeronautical",31
"Engineer, maintenance (IT)",Museum/gallery curator,29
Retail banker,"Surveyor, building",25
Technical sales engineer,Radiation protection practitioner,18
Primary school teacher,"Conservation officer, nature",31
"Teacher, adult education",Minerals surveyor,21
Market researcher,Environmental education officer,20
Water quality scientist,"Designer, industrial/product",19
Television production assistant,Clothing/textile technologist,22
Insurance claims handler,Editorial assistant,29
Production engineer,Town planner,29
Hydrogeologist,Transport planner,32
Social worker,"Engineer, control and instrumentation",31
Astronomer,Medical physicist,20
Teaching laboratory technician,Archaeologist,31
Science writer,Personnel officer,16
"Production assistant, radio","Nurse, children's",24
Learning mentor,Cytogeneticist,20
"Designer, industrial/product","Psychologist, occupational",15
Research scientist (physical sciences),Archaeologist,17
"Production assistant, television","Surveyor, mining",20
Chiropodist,"Horticulturist, amenity",21
"Engineer, aeronautical","Designer, industrial/product",22
Environmental education officer,Planning and development surveyor,19
Community education officer,Wellsite geologist,31
Early years teacher,"Engineer, automotive",27
Amenity horticulturist,Theatre manager,19
Risk manager,Chief Technology Officer,26
"Pilot, airline","Accountant, chartered management",23
Multimedia programmer,Medical sales representative,29
Chief Strategy Officer,Arboriculturist,17
Electronics engineer,"Surveyor, building",15
Occupational therapist,Fine artist,26
"Engineer, technical sales","Production assistant, radio",19
Health physicist,Print production planner,30
Archivist,Multimedia specialist,24
Water engineer,Archaeologist,15
Clinical cytogeneticist,Waste management officer,16
Dentist,Hydrogeologist,32
"Education officer, community",Advertising account executive,17
Psychiatric nurse,Make,31
Adult nurse,"Teacher, special educational needs",20
Contracting civil engineer,Chiropodist,25
Curator,Community arts worker,30
Seismic interpreter,Civil Service administrator,23
Horticultural consultant,Licensed conveyancer,24
Dealer,"Programme researcher, broadcasting/film/video",29
Financial trader,Civil Service administrator,16
Theatre manager,Armed forces training and education officer,16
Retail manager,Advertising copywriter,25
"Doctor, general practice",Production engineer,20
Animator,Cartographer,16
Telecommunications researcher,Medical technical officer,29
"Administrator, Civil Service",Translator,31
Arboriculturist,Set designer,32
Sports administrator,Geoscientist,17
Immigration officer,Museum/gallery exhibitions officer,28
Counselling psychologist,Photographer,17
Planning and development surveyor,Translator,15
Solicitor,Software engineer,20
"Psychotherapist, dance movement","Psychologist, forensic",17
Actuary,"Psychologist, occupational",27
Writer,Health service manager,24
"Engineer, materials",Social worker,31
"Librarian, public","Engineer, drilling",27
Restaurant manager,Set designer,23
Dancer,Recycling officer,19
Computer games developer,Social worker,21
Occupational therapist,Adult nurse,16
Commercial art gallery manager,Probation officer,32
Leisure centre manager,Public relations account executive,18
"Journalist, newspaper","Surveyor, mining",20
Product/process development scientist,Aid worker,24
Product manager,Politician's assistant,20
"Conservator, museum/gallery",Warehouse manager,17
Audiological scientist,Hydrographic surveyor,15
"Psychologist, sport and exercise",Insurance broker,18
Microbiologist,Television camera operator,25
Water quality scientist,Marine scientist,32
Information systems manager,"Producer, television/film/video",18
Emergency planning/management officer,"Secretary, company",31
Dispensing optician,Photographer,26
Academic librarian,"Editor, film/video",23
"Administrator, sports",Facilities manager,19
Estate agent,Planning and development surveyor,31
Physiological scientist,"Engineer, drilling",23
"Psychologist, clinical","Radiographer, diagnostic",29
English as a foreign language teacher,Dramatherapist,16
Audiological scientist,Clinical embryologist,15
Community arts worker,Insurance account manager,25
"Education officer, museum",Electrical engineer,27
Advertising account planner,Economist,23
Production manager,Archaeologist,32
Music therapist,Aeronautical engineer,17
Systems analyst,Paediatric nurse,29
Site engineer,"Librarian, public",31
"Accountant, chartered public finance",Chartered accountant,21
"Engineer, materials","Psychologist, prison and probation services",32
Firefighter,Sports administrator,29
"Nurse, learning disability",Financial risk analyst,25
Commissioning editor,Stage manager,22
Broadcast journalist,Ranger/warden,32
"Research officer, government",Newspaper journalist,20
"Scientist, research (physical sciences)",Veterinary surgeon,17
Advice worker,Mining engineer,26
Research scientist (physical sciences),Building surveyor,20
"Research officer, political party",Child psychotherapist,28
Warden/ranger,Diagnostic radiographer,21
Advice worker,"Teacher, adult education",19
Secondary school teacher,Hydrologist,21
Records manager,Air broker,19
Clinical embryologist,Legal executive,16
"Conservator, museum/gallery",Pensions consultant,20
"Chemist, analytical",Commissioning editor,20
Medical sales representative,Landscape architect,16
"Education officer, environmental",Oceanographer,31
Data processing manager,"Scientist, research (medical)",24
"Engineer, maintenance (IT)",Chemical engineer,26
Armed forces operational officer,Interpreter,16
Water engineer,Special effects artist,15
Health physicist,"Scientist, research (medical)",26
Ship broker,"Loss adjuster, chartered",17
Camera operator,"Biochemist, clinical",20
Mental health nurse,Drilling engineer,27
Haematologist,Newspaper journalist,19
Software engineer,"Surveyor, quantity",24
"Designer, furniture",Economist,24
Dramatherapist,"Surveyor, building control",26
Fine artist,"Engineer, civil (consulting)",15
Advertising copywriter,"Nurse, children's",29
Exhibition designer,Air broker,32
Horticultural therapist,"Administrator, sports",24
Investment analyst,Special educational needs teacher,28
Data processing manager,Diagnostic radiographer,19
"Exhibitions officer, museum/gallery",Interpreter,19
Tree surgeon,Public house manager,22
"Engineer, biomedical",Magazine journalist,29
Gaffer,"Civil engineer, contracting",18
"Psychologist, sport and exercise",Learning mentor,20
Trade union research officer,Professor Emeritus,28
Further education lecturer,Ergonomist,25
Artist,Press photographer,32
"Civil engineer, consulting",Chief Technology Officer,20
Public affairs consultant,Agricultural engineer,29
